country,PC1,PC2,PC3,PC4,PC5
Afghanistan,3.514335244496301,-0.014041408697099269,-0.8337733076990257,0.26860358980808047,0.1491151456669932
Albania,-0.7451982722387641,-0.4398230033404269,-0.20341170887544696,-0.5818160088169028,-0.7530984804605728
Algeria,-0.14550154711409996,-0.597918742935002,1.3706867181505809,-0.32461063082710734,-0.283336927511812
Angola,2.6958287973197863,1.1378204837726515,1.8905631507472285,0.5635227655898356,1.461369625403339
Antigua and Barbuda,-1.4755170007608323,0.21551150569500993,-0.017253199755921326,-0.5516111733686113,-0.06735167367819445
Argentina,-0.6080264144653823,-1.9525236244667254,0.7967069440061647,0.7931069057897729,-0.2936790715101421
Armenia,-0.14448728420303422,-0.48315703662858506,0.3935763561326379,-0.9992627719051823,-0.9713142216849143
Australia,-2.2235117538493205,-1.9488642498374675,-0.3000103434655387,-0.09500131709582492,0.6695715957885261
Austria,-2.797324167869016,-0.5852686777630639,-0.8840379285182096,0.717323351976433,0.46980461468092044
Azerbaijan,-0.2912748434268264,-0.5613312243738481,1.001998164753906,0.009988749154160939,0.2599081232197362
Bahamas,-1.6148527987654187,-0.5985029073560435,-0.4739669925863511,-0.23185587653870462,0.44850892991911806
Bahrain,-1.901876555063758,0.4602707591550731,1.0149049358718354,-0.2535121347074504,0.44304652348313556
Bangladesh,1.4458399877086854,-0.8818142130746557,0.4324586478784738,-1.4819362900529252,-0.8592089205333872
Barbados,-1.5251924250610132,-0.35515184400643907,-0.546653679267417,-0.23612711649216356,0.02055351029687151
Belarus,-0.991231690500067,0.5286848039126932,0.7834460556253637,0.11330717221769107,-0.8726636564346478
Belgium,-2.952355820343329,0.8336904984628145,-0.7989394687247914,1.023553400250833,0.38197393771402105
Belize,-0.445980077011406,0.8023245697746195,0.0159786615388973,-0.795129135742836,-0.1529880526481897
Benin,3.149779534171426,0.307306294036804,-0.26334687835517084,-1.0592010012592001,0.7622158116193141
Bhutan,0.10013335931483737,0.8903330534558007,-0.009098914124487423,-0.5412094681146472,-0.7270166818218793
Bolivia,0.7233363527215066,-0.1444915571784817,0.5128838667732857,-0.6150567146814601,-0.16986387308106302
Bosnia and Herzegovina,-1.2690514939940873,-0.6683317915004146,-1.51131628302434,0.3227496146634808,-0.8535975492447805
Botswana,0.47382121340792205,0.30994763313647417,-0.3308862529760466,0.6475733917812365,0.5628157329793486
Brazil,-0.7066315218732848,-2.171145479604914,-0.26999504841286565,0.14695080922661577,-0.0023898834976667444
Brunei,-2.0386681383539527,-0.32621849675047626,2.432032046708272,-0.27564272746164653,0.7065754896522501
Bulgaria,-1.299537181217048,0.16788747725345168,-0.26627098578963543,-0.4963386785454852,-0.2569487554686686
Burkina Faso,3.737949293377293,-0.11969249179991649,-0.6072174911870567,-0.0700685473571455,0.7429013084045178
Burundi,4.00992564935312,-0.4061648500093014,-1.7815609741862757,1.2861790837727949,-0.2624083077179319
Cambodia,1.0381027957595519,1.0842041990111038,-0.3900619781892388,-0.7133592159776665,-0.7029401535944045
Cameroon,3.0069817178299694,-0.11404037593601744,-0.31234872927727225,-0.7248168106740067,1.136589474360422
Canada,-2.4534561170261755,-1.6271940473486288,-0.862051192262587,0.7197310060252836,0.4698761100470375
Cape Verde,0.0018370744333348575,0.47451473608587924,-0.04058049206320775,-1.2455184679729465,-0.5238465669098509
Central African Republic,4.761969015513086,0.16653015871625554,-0.4462534294420279,-1.058127100900379,1.0894443483316585
Chad,3.9896557138505973,0.9718731413031327,-0.009866866585476856,-0.20296469605669729,1.5367141915634035
Chile,-1.4546521894202888,-1.0598287374871982,0.1591300653640301,0.14911623284905584,-0.13200160804679037
China,-0.4609176979742858,-1.1541658877200798,0.5023206616365739,-0.9529672741197442,-0.47063508044830465
Colombia,-0.581855756220956,-1.7063206926411616,-0.2794277141802781,-0.510882350927958,-0.16155088843987092
Comoros,2.6607972053649673,0.3514185094151302,-0.3677445076529767,-0.9016912617739646,-0.1581797390086377
"Congo, Dem. Rep.",4.261290520743777,0.8793060847356114,-0.22690306512874228,1.2455999538990303,-0.04266078600986892
"Congo, Rep.",1.6239088072782388,1.8344416113979414,1.9258987614303178,0.19511883744030306,0.5188386122391481
Costa Rica,-1.3664872621437985,-1.1931527459829123,-0.8637234656385873,0.6482317505102418,-0.4067839118648395
Cote d'Ivoire,2.8569880508321717,1.0069492667267816,-0.07841566142335704,-0.20746611707564133,1.122128423471802
Croatia,-1.6207140319324929,-0.7428430718948235,-0.3576919598854581,-0.3791793299743599,0.014585252657263027
Cyprus,-2.3719032169276684,0.06632844601171024,0.2576155058192268,-0.474184839334713,0.10239306633176122
Czech Republic,-2.3545515231932765,0.5764451228417369,-0.4271221165983504,-0.14687766204862873,0.15866630524980246
Denmark,-2.6567944605929537,-0.7544648970748713,-0.7941983218802243,1.0043054152300788,0.6419740795839544
Dominican Republic,-0.19057917524834878,-0.8909079770335782,0.05473468046027748,-0.5182514543102144,-0.029843824411195503
Ecuador,-0.35868771388795173,-0.9916077457140356,-0.24815037268444057,0.011729718420646107,-0.27818646768107613
Egypt,0.5459599185007724,-0.9160833633221828,0.6750997140288986,-0.6980193254876761,-0.17818392694746155
El Salvador,-0.2746250825475975,-0.4085990602234787,-0.47865514597958125,-0.6024117619108433,-0.6279400731457864
Equatorial Guinea,0.9344529327301986,1.7037913978439838,2.0855074580276773,1.5288904139923345,2.0255750418470098
Eritrea,3.0517827142719467,-0.713355865505452,0.6589505389237528,-1.2700590102903622,-0.5725669014665169
Estonia,-2.0297802856601392,1.126914663276123,0.17177491333752645,-0.3505667054983524,-0.0031795697875771608
Fiji,-0.0064286661188028464,1.117699439958578,0.15988657417602675,-0.6269719693244044,-0.22723199901229651
Finland,-2.3902486190746455,-0.9982762401391478,-0.43059527514496904,0.08458883690966634,0.5995363844484107
France,-2.306059426256697,-1.7569672617910963,-1.1341050901423737,0.7347720549921302,0.5554399993255006
Gabon,0.8680103102380983,-0.11985062645460047,1.7906717331412747,-0.02834993761773118,1.2968239435364188
Gambia,2.82211220696849,0.20648280448624054,-0.48422352058991536,-0.5586592044514421,0.12760531693785526
Georgia,-0.4603406517768004,-0.31999769551086094,-0.9232812741538117,0.585489722119669,-0.956728314057923
Germany,-2.632583860348609,-1.1320735343373511,-1.0386327985543298,0.7289523381317591,0.478186219137172
Ghana,2.2168662004347066,0.20913423680465767,0.5181981362449305,0.1379129282909167,-0.17889784317081991
Greece,-2.110986909017309,-1.640408859861186,-0.9056876767728054,0.19259011822048075,0.17388151101443775
Grenada,-0.5777592333093062,-0.3559072686866934,-0.27952845087260386,-0.8592758786397519,-0.20317317816106958
Guatemala,0.47375705903806375,-0.5918381540512958,-0.2664604748500186,-0.36521755259561844,-0.10126280486998102
Guinea,3.6050594417081108,0.5186512606024805,0.3455580784615995,0.11368417089312755,0.12105045841358796
Guinea-Bissau,3.499537174043102,-0.13543653582073895,-1.3863126153863465,0.06254927322782654,0.5546001210594174
Guyana,0.2350872883316028,1.4372389412579007,-0.10806138113595,-0.3399904795945299,-0.5175232493017592
Haiti,4.998451205217712,1.4504918304244665,-1.2964295249749913,0.33169117950929655,1.296322074440754
Hungary,-2.181485446782208,1.429868293908227,-0.15569837604674233,0.04268195059753421,-0.17902279642911456
Iceland,-2.4636692447945925,-0.5862180942378504,-0.16304423160122233,0.6235303110717427,0.4722888210768686
India,1.3623862971904503,-0.584652515529872,0.5280690282855016,-0.9760190643573332,-0.31071905746085554
Indonesia,0.5951232024096286,-0.9000835535927993,1.5235211615316961,-0.9380356903054435,-0.38151136289008974
Iran,-0.5382129071493962,-1.4615726669086069,1.0562009963912142,-0.17986207117368955,-0.3605154307146113
Iraq,0.6424164169531689,-0.5034671632643468,0.29066701718487953,1.0266495668989195,0.4111447060323084
Ireland,-3.2931376614966026,1.9340892009475048,-0.6095245725278554,0.5696441522104108,0.7131708327225483
Israel,-1.7673130775392114,-1.052391639816869,-0.06479316050137239,-0.16284860286492314,0.6497171683819752
Italy,-2.320556395600703,-1.6753571080846201,-0.6171265226221936,0.015968063492795545,0.3819468005994229
Jamaica,-0.350529392435216,-0.2023539421249159,0.5310427922944124,-0.5998563774193124,-0.7493955780721917
Japan,-2.3321022462644247,-2.3254067099993283,-0.6830309193864275,-0.25417693353631576,0.5593220285679447
Jordan,-0.3705294628773627,0.6238580545923375,-0.34658427557368615,0.4477688338828283,-0.45475571700596734
Kazakhstan,-0.25973945920037156,-0.5130413052070113,1.6688751286726302,0.050952979584900464,0.0728505390501216
Kenya,2.181383408724428,-0.18521635506163833,-0.25610524147443003,-1.0788942361802012,0.1043259814175358
Kiribati,1.6809808692158732,0.5845425979537107,-2.395624240717667,0.7392901478080132,-0.6132813750703234
Kuwait,-2.0682161573947964,-0.199890446114343,2.130969301840901,-0.6206346907790895,0.9278048287289904
Kyrgyz Republic,0.7599974614149143,1.4909517968187171,-0.24692738501007977,-0.06656661842305264,-1.3344752440574368
Lao,1.6795225599884493,0.4880456865431513,0.298351200164609,-0.5524519375009207,-0.17131138681105976
Latvia,-1.6188030583369233,0.2931711507461069,-0.2693549381229759,-0.5855274806463582,-0.0528412819030471
Lebanon,-1.5935952079087392,-0.07477025094362197,-0.4530727794434951,-0.5343445287008884,-0.4743984905772486
Lesotho,2.2572428940357403,2.132586522714455,-2.2592773276890474,1.2642626181766106,-0.1454151282001628
Liberia,2.947539357402918,1.3177120749993652,-2.5984597513762644,1.1694776185571512,-1.0101391784004838
Libya,-1.2560273229750016,0.20757207547383497,1.6452858189430617,-0.21642825771402172,0.19122307335788366
Lithuania,-1.800250826553325,0.845647338362491,-0.14759608943668318,-0.14497188231304253,-0.14353758603890193
Luxembourg,-4.673790714191369,5.107811296093282,0.39815304496342074,1.4182950048122636,0.6628484269935924
"Macedonia, FYR",-1.0432068926458407,0.0961729287730999,-0.46251100321262856,-0.4863475223791297,-0.6872612365140544
Madagascar,2.845361415933217,0.3319722575758033,0.17577171714819384,-0.941573756167892,-0.5321381280618438
Malawi,3.7538126828279967,0.0907903451782989,-0.36792372601796997,0.1022699169242537,0.05082254181101523
