country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp
Afghanistan,1.5528480411891656,-1.4271296933031326,0.3667451379565898,-0.003901158546514248,-0.9154722740941136,0.3792487383035767,-1.8844638341743716,1.9639403507269373,-0.7460887174506012
Albania,-0.5470414738697157,-0.54940259079255,-0.04869456565876601,0.196687589733649,-0.36681367958901057,-0.38275572251014445,0.6878483687051564,-0.8654979887281274,-0.4975607734902588
Algeria,-0.2417586231750142,-0.04227137600865799,-1.008642618672889,-0.7357790238930553,-0.17095838804091487,1.4044911037620385,0.7134435150024655,-0.024130233110793955,-0.4715626566496236
Angola,2.374543938386119,1.123155165658171,-1.5410507825294613,-0.11232750896822404,-0.6325701863024199,2.3743149629795015,-1.3853584813768514,2.1946379611381417,-0.5369092746544635
Antigua and Barbuda,-0.7267874513815493,0.3039432033149608,-0.2584311150568095,0.7550832944054542,0.23789777613356097,-0.852273622607488,0.7518362344484283,-0.539807244618192,0.07228984158420475
Argentina,-0.6069567997069936,-0.9931424037284557,0.5764816873546333,-1.5706619221402205,0.21151995909004642,2.143404520308677,0.6238605029618846,-0.37696187256322405,-0.06121400165148955
Armenia,-0.5042448125573743,-0.9004934317967831,-0.9158745295160617,0.01778411153782763,-0.5798145522153907,0.12216844546339195,0.3039211742455253,-0.8383570933856328,-0.5586914806560768
Australia,-0.8837085428601341,-0.9492560486029266,0.830585583740725,-1.3050173636070317,1.7084610763094983,-0.8953769052393752,1.417310038178456,-0.6755117213306651,2.861817513403712
Austria,-0.8979740966309147,0.5867663807905927,1.7461662897668,0.15331704956496486,1.8271612530053138,-0.9395577699370596,1.2253464409486405,-1.0079876892762243,2.5104916101518846
Azerbaijan,0.09776155656956043,0.7330542312090232,-0.3189320427677838,-1.3158599986492026,0.033469694046323065,1.0504284250001072,-0.23357689799795872,-0.6822969451662887,-0.3745967073521193
Bahamas,-0.6269285749860862,-0.20806427314954573,0.49178038855926953,-0.06895696879953989,0.48848703804694943,-1.1344461835512356,0.36790903998879715,-0.7230082881800305,1.1824796958599781
Bahrain,-0.7752903342022027,1.4742460066624041,-0.6859710042143603,0.3213778927186151,1.6886777135268625,0.07136814807581067,0.6494556492591936,-0.5194515731113208,0.6695438771123108
Bangladesh,0.38877885349348135,-1.1345539924662718,-1.2708133054204434,-1.2562255059172622,-0.8607383037288209,0.025186059541645628,-0.06720844706545041,-0.40410276790571875,-0.7316843554172764
Barbados,-0.6155161319694619,0.0113675024780999,0.5240475500051225,0.20210890725473457,-0.012691485779827438,-1.0245328128399231,0.7390386612997747,-0.7772900788650199,0.3392975280555933
Belarus,-0.8637367675810416,0.5916426424712072,-0.42783371264753706,1.0586770755862418,0.04665860256808035,1.250550808648155,-0.06720844706545041,-0.9740615700981059,-0.36124632302854986
Belgium,-0.8922678751226024,1.8107080626247944,1.6251644343448515,1.6116514627369618,1.6886777135268625,-0.7845398927573793,1.1613585752053686,-0.7230082881800305,2.334828658525971
Belize,-0.48427303727828175,0.923228436752983,-0.5932029150575331,0.6791848491102574,-0.5019999919370227,-0.8984557111416529,0.060767284421093304,-0.14626426215201987,-0.47999447832766745
Benin,2.146295078053632,-0.7542055813783526,-1.0368763849380103,-0.4213426076700967,-0.9016239201462685,-0.9377104863956931,-1.1677997378497276,1.6518200542882493,-0.7316843554172764
Bhutan,0.19762043296502355,0.15765535289653032,-0.5932029150575331,1.3947987618935422,-0.5982790241458509,-0.15184527983931984,0.15035029646167244,-0.3701766487276006,-0.6317672685324568
Bolivia,0.308891752377111,0.09426395104854395,-0.7384051415638712,-0.5785608157815761,-0.6648830121807252,0.2776481435284138,0.08636243071840059,0.1862117057935394,-0.6458203046625298
Bosnia and Herzegovina,-0.8237932170228563,-0.4665061422221062,1.786500241574116,0.34306316280295696,-0.3806620335368557,-0.8584312344120432,0.7518362344484283,-1.0961955991393317,-0.4610228795520688
Botswana,0.47722528687232013,0.2112942313832882,0.657149590969266,0.34306316280295696,-0.1445805709974003,0.29919978484435755,-1.7692856758364826,-0.030915456946417768,-0.33876146522043293
Brazil,-0.45574192973672084,-1.3929958615388323,0.9435206488012098,-1.7983572580258111,-0.06544711986685658,0.2206902343362772,0.41909933258341536,-0.7637196311937725,0.00202466093383933
Brunei,-0.7210812298732371,1.371844511369503,-1.545084177710193,-0.9201038196099618,4.293487146573926,1.496855280830368,0.7902289538943911,-0.7365787358512779,1.6954155146076457
Bulgaria,-0.7125218976107688,0.5331275023038352,0.08037408012464559,0.43522556066141044,-0.012691485779827438,-0.9030739199950693,0.38070661313745263,-0.9197797794131166,-0.3043315267017539
Burkina Faso,2.2889506157614363,-0.9785136186866127,0.027939942775134716,-0.833362739272594,-0.9273422917636952,-0.0256142378459358,-1.6669050906472478,1.9978664699050555,-0.7445428834762933
Burundi,1.6498538068304724,-1.4797933194537676,1.9881700006106964,-0.3129162572483869,-0.9712613571411469,0.8195179823292825,-1.692500236944556,2.262490199494378,-0.768714105620019
Cambodia,0.24612331578567692,0.7233017078477947,-0.399599946382416,0.7876111995319672,-0.8554627403201179,-0.5936539268161644,-0.6175040924575899,-0.030915456946417768,-0.7297169303590662
Cameroon,2.0607017554289495,-0.8322257682681823,-0.6214366813226545,-0.9743169948208167,-0.8462305043548879,-0.7799216839039629,-1.7436905295391742,1.4821894583976578,-0.6928979756982747
Canada,-0.8608836568268854,-0.4957637123057922,1.8671681451887485,-0.7574642939773971,1.6622998964833477,-0.6321390005946351,1.327727026137875,-0.8790684363993748,2.5456242004770675
Cape Verde,-0.2645835092082629,-0.3202182918036756,-1.040909780118742,0.9123015025169333,-0.6371863042850349,-0.9962077985389686,0.20154058905629066,-0.17340515749451452,-0.5523676143975438
Chad,3.2590082721745066,-0.12029156289848762,-0.8634403921665509,-0.07979960384171102,-0.8943700204593019,-0.09026916179376669,-1.8460711147284088,2.486402586069959,-0.7219174953068755
Chile,-0.7724372234480468,-0.07640520777295821,0.520014154824391,-0.7412003414141407,0.25768113891619693,0.30535739664891304,1.0461804168674784,-0.7094378405087833,0.12147546803946054
China,-0.5727194706571205,-0.6322990393629939,-0.6456370524070439,-1.212854965748578,-0.3931914966325251,-0.005601999481130879,0.47028962517803174,-0.9062093317418692,-0.46453613858458703
Colombia,-0.4899792587865939,-1.1394302541468861,0.37077853313732134,-1.4730782067606818,-0.3028474732584877,-0.47973810843189085,0.7006459418538119,-0.6212299306456759,-0.3457879832854695
Comoros,1.495785826106044,-1.1101726840632,-0.8715071825280143,0.36474843288729925,-0.9286611826158709,-0.478198705480752,-0.6430992387548972,1.237921400315206,-0.7309114384301224
"Congo, Dem. Rep.",2.2889506157614363,0.08938768936792953,0.49984717892073294,0.2509007649445039,-0.9814827612455088,2.1280104907972888,-1.718095383241865,2.4524764668918406,-0.7614767920130313
"Congo, Rep.",0.8024799128461142,2.2349428288382422,-1.698353194577994,0.527387958519864,-0.6793908115546582,2.1126164612859,-1.3469657619308886,1.3736258770276792,-0.5924187673682522
Costa Rica,-0.7296405621357054,-0.2958369834006039,1.7058323379594842,-0.5406115931339776,-0.16436393378003622,-0.06255990867326763,1.2125488677999867,-0.6822969451662887,-0.20877088101725694
Cote d'Ivoire,2.146295078053632,0.5526325490262926,-0.5528689632502172,-0.09064223888388215,-0.8442521680766243,-0.24420945690764978,-1.871666261025718,1.5907530397676357,-0.6992218419568076
Croatia,-0.8637367675810416,-0.08128146945357263,0.4393462512097587,-0.37255074998032733,0.3038423187423474,-0.9475626652829816,0.6878483687051564,-0.9333502270843639,0.1636345764296798
Cyprus,-0.9179458719100072,0.5331275023038352,-0.2826314861411994,0.6791848491102574,1.2138770067436,-0.7645276543925745,1.148561002056715,-1.0215581369474716,1.3792222016810014
Czech Republic,-0.9236520934183194,1.303576847840902,0.487746993378538,0.9719359952488738,0.8445875681343961,-1.2940822695843324,0.8414192464890092,-0.9604911224268585,0.6063052145269819
Denmark,-0.9036803181392268,0.5477562873456782,1.9075020969960645,-0.07437828632062546,1.879916887092343,-0.578259897304776,1.0973707094620968,-0.7162230643444069,3.290435115370941
Dominican Republic,-0.039187759629931956,-0.8078444598651106,-0.18179660662290914,-0.632773990992431,-0.2896585647367304,-0.23651244215195552,0.47028962517803174,-0.22090172434388,-0.40200012780576183
Ecuador,-0.3045270597664481,-0.5542788524731644,0.5603481066317072,-0.6815658486822004,-0.4050615143021067,0.07598635692922706,0.7390386612997747,-0.18019038133013804,-0.4575096205195505
Egypt,-0.19040262960020457,-0.8761121233937114,-0.81100625481704,-0.9960022649051586,-0.3714297975716256,0.48084933307873956,-0.054410873916796776,0.1794264819579156,-0.6022558926593032
El Salvador,-0.47286059426165744,-0.6030414692793079,0.09650766084757204,0.08826123931193922,-0.5402478266501188,-0.6660058655196893,0.4063017594347599,-0.4448141109194607,-0.5748524722056607
Equatorial Guinea,2.146295078053632,2.2690766606025425,-0.8836073680702088,0.7550832944054542,1.2006880982218429,2.7591657007642088,-1.2829778961876166,1.5500416967538941,0.4165892267709953
Eritrea,0.5542592772345346,-1.6811829268631402,-1.6176852909633617,-1.1749057431009797,-0.9280017371897831,0.7117597757495642,-1.1805973109983812,1.142928266616475,-0.7510775452767773
Estonia,-0.8922678751226024,1.7473166607768074,-0.2584311150568095,1.2863724114718325,0.4752981295251921,-0.8060915340733229,0.6494556492591936,-0.8180014218787618,0.24092627514508175
Fiji,-0.333058167308009,0.9037233900305254,-0.7303383512024078,1.0261491704597288,-0.5369505995196795,-0.422780199239754,-0.7198846776468245,-0.17340515749451452,-0.5284774529764196
Finland,-0.9350645364349438,-0.02764259096681474,0.9193202777168199,-0.4104999726279259,1.60294980813544,-1.0199146039865066,1.1613585752053686,-0.7162230643444069,2.461305983696629
France,-0.9008272073850707,-0.6079177309599222,2.109171856032645,-0.9146825020888762,1.4117106345699595,-0.9123103377019023,1.3405245992865304,-0.6076594829744286,2.0678209720545824
Gabon,0.7967736913378022,0.8988471283499113,-1.2788800957819066,-1.4134437140287415,-0.006097031518948795,1.48146125131898,-1.0270264332145291,0.7833114033284211,-0.17012503165955595
Gambia,1.2703900765277127,-0.7542055813783526,-0.39556655120168416,-0.12317014401039478,-0.9121750469636744,-0.4120043785817823,-0.6942895313495153,1.8893028885350769,-0.745456330824748
Georgia,-0.5498945846238718,-0.20806427314954573,1.383160723500955,0.4243829256192393,-0.5778362159371271,0.24224187565222094,0.23993330850225342,-0.6822969451662887,-0.5769604276251717
Germany,-0.9008272073850707,0.14790282953530148,1.9881700006106964,-0.4267639251911822,1.642516533700712,-0.9572609038751562,1.1741561483540222,-1.0419138084543424,2.152139188835021
Ghana,1.1106158742949719,-0.47625866558333485,-0.58513612469607,0.050312016664340646,-0.8198526873113733,1.48146125131898,-1.1166094452551092,0.9122306562052702,-0.6928979756982747
